FromNode,ToNode,Type,Length(m),Project(P/E),base_costs,Investment_Cost (Billion VND),Construction_Time (Years),Capacity,Capacity_After_Investment
0,46,R,42196,P,400,659,4,10000000,"24,637,500"
0,75,R,37765,P,400,589,4,10000000,"24,637,500"
75,59,R,82356,P,400,1285,5,10000000,"15,398,438"
46,48,R,38739,P,400,604,4,10000000,"18,472,500"
46,47,R,22990,P,400,359,3,10000000,"18,472,500"
3,45,R,62745,P,400,979,4,10000000,"15,398,438"
45,47,R,27071,P,400,422,3,10000000,"18,472,500"
45,49,R,16331,P,400,255,3,10000000,"18,472,500"
47,6,R,48790,P,400,761,4,10000000,"15,398,438"
6,7,R,13132,P,400,205,2,10000000,"12,318,750"
7,8,R,14462,P,400,226,2,10000000,"12,318,750"
8,58,R,8329,P,400,130,2,10000000,"12,318,750"
6,51,R,55069,P,400,859,4,10000000,"15,398,438"
48,51,R,54847,P,400,856,4,10000000,"15,398,438"
49,4,R,30171,P,400,471,3,10000000,"12,318,750"
49,11,R,42577,P,400,664,4,10000000,"15,398,438"
49,50,R,36208,P,400,565,3,10000000,"12,318,750"
4,39,R,71328,P,400,1113,5,10000000,"15,398,438"
39,5,R,21968,P,400,343,3,10000000,"12,318,750"
39,53,R,28191,P,400,440,3,10000000,"12,318,750"
39,11,R,63467,P,400,990,4,10000000,"15,398,438"
11,10,R,15396,P,400,240,2,10000000,"12,318,750"
58,50,R,33732,P,400,526,3,10000000,"12,318,750"
58,61,R,42336,P,400,660,4,10000000,"15,398,438"
50,9,R,15240,P,400,238,2,10000000,"12,318,750"
59,9,R,58242,P,400,908,4,10000000,"15,398,438"
51,9,R,9721,P,400,152,2,10000000,"12,318,750"
59,60,R,5649,P,400,88,2,10000000,"12,318,750"
59,36,R,50415,P,400,786,4,10000000,"15,398,438"
62,17,R,28104,P,400,438,3,10000000,"12,318,750"
60,62,R,15588,P,400,243,2,10000000,"12,318,750"
62,73,R,12392,P,400,193,2,10000000,"12,318,750"
36,17,R,30350,P,400,473,3,10000000,"12,318,750"
60,52,R,57931,P,400,904,4,10000000,"15,398,438"
51,52,R,11041,P,400,172,2,10000000,"12,318,750"
10,51,R,21634,P,400,338,3,10000000,"12,318,750"
51,13,R,53662,P,400,837,4,10000000,"15,398,438"
11,13,R,28967,P,400,452,3,10000000,"12,318,750"
13,38,R,38515,P,400,601,4,10000000,"15,398,438"
38,53,R,20420,P,400,319,3,10000000,"12,318,750"
53,43,R,28861,P,400,450,3,10000000,"12,318,750"
53,44,R,10616,P,400,166,2,10000000,"12,318,750"
44,19,R,14263,P,400,222,2,10000000,"12,318,750"
19,20,R,44430,P,400,693,4,10000000,"15,398,438"
44,69,R,62309,P,400,972,4,10000000,"15,398,438"
69,54,R,2451,P,400,38,1,10000000,"9,239,063"
69,13,R,10757,P,400,168,2,10000000,"12,318,750"
54,13,R,11334,P,400,177,2,10000000,"12,318,750"
13,14,R,33682,P,400,525,3,10000000,"12,318,750"
14,15,R,15475,P,400,241,2,10000000,"12,318,750"
13,37,R,52186,P,400,814,4,10000000,"15,398,438"
37,52,R,25407,P,400,396,3,10000000,"12,318,750"
37,15,R,8288,P,400,129,2,10000000,"12,318,750"
37,55,R,9945,P,400,155,2,10000000,"12,318,750"
52,55,R,33511,P,400,523,3,10000000,"12,318,750"
55,56,R,5705,P,400,89,2,10000000,"12,318,750"
15,55,R,5717,P,400,89,2,10000000,"12,318,750"
37,61,R,53742,P,400,838,4,10000000,"15,398,438"
55,16,R,39913,P,400,623,4,10000000,"15,398,438"
16,73,R,11378,P,400,177,2,10000000,"12,318,750"
18,67,R,65386,P,400,1020,5,10000000,"15,398,438"
18,63,R,29548,P,400,461,3,10000000,"12,318,750"
63,16,R,18287,P,400,285,3,10000000,"12,318,750"
56,63,R,41372,P,400,645,4,10000000,"15,398,438"
