New_ID,Name,Project,Passenger,Rice,Fisheries,Fruits & Vegetables,Longitude,Latitude,Inverst,Capacity (Passenger),Capacity (Goods: (Ton/Year)),Capacity(PCU/year)
0,HCM City,N,"14,15",,,,696169.6512,1205836.641,,,,
1,Cảng Long An,E,,,,,689133.097,1164314.06,,,1500000,1500000
2,Cảng Nhơn Đức,E,,,,,680798.7053,1162726.557,,,500000,500000
3,Cửa Khẩu Mộc bài Tây Ninh,E,,,,,629196,1225163,,"5,000,000","2,500,000","2,500,000"
4,Cửa Khẩu Bình Hiệp,E,,,,,601711,1198203,,1000000,"1,250,000","1,250,000"
5,Cửa Khẩu Đinh Ba ,E,,,,,546559,1212199,,1000000,"1,250,000","1,250,000"
6,Cảng Mỹ Thới Tiền Giang,Upgrade,,0,,,644286.1323,1144867.146,600,,"2,900,000",500000;10000000;16000000
7,Hub RachMieu,New,,,,0,648232.9463,1139094.592,780,"5,000,000",,0;500000;10000000;16000000
8,Cảng Hàm Luông,E,,,,0,647858.0144,1127801.487,,,"1,500,000","1,500,000"
9,Cảng Vĩnh Thái,E,,,,0,608567.3108,1131373.369,,,"500,000","500,000"
10,Hub Cảng Cao Lãnh - Cảng Sa Đéc,Upgrade,,15,,0,584065.8715,1142705.343,1000,,"500,000",500000;10000000;16000000
11,Hub Cao Lãnh - Cảng Trần quốc toản,New,,15,,0,567605.1696,1156073.567,1200,,"650,000",0;500000;10000000;16000000
12,Cảng Vĩnh Xương - Tân Châu,Upgrade,,0,15,,519551,1206328,1500,"200,000","1,000,000",500000;10000000;16000000
13,Cảng Hub Mỹ Thanh - An giang Mỹ thới ,Upgrade,,0,,0,553162.0001,1141123,450,,"1,500,000",500000;10000000;16000000
14,Kho Cảng Cần thơ,Upgrade,,0,,,574039.1168,1116688.965,3500,,"16,000,000",500000;10000000;16000000
15,Kho Cảng Trung tâm vùng C_n th_,New,,,,,584427,1108451,3500,,"16,000,000",0;500000;10000000;16000000
16,Cảng Đại Ngải,New,,0,,,615314.1993,1077795.137,400,,"1,500,000",0;500000;10000000;16000000
17,Cảng Địnhnh An,New,,,,0,640950.5659,1062523.893,2000,,4000000,0;500000;10000000;16000000
