edge_id,from_node,to_node,mode,cost,capacity,distance,time
1,0,46,road,400.0,10000000.0,42.196,0.04
2,0,75,road,400.0,10000000.0,37.765,0.03
3,75,59,road,400.0,10000000.0,82.356,0.07
4,46,48,road,400.0,10000000.0,38.739,0.03
5,46,47,road,400.0,10000000.0,22.99,0.02
6,3,45,road,400.0,10000000.0,62.745,0.05
7,45,47,road,400.0,10000000.0,27.071,0.02
8,45,49,road,400.0,10000000.0,16.331,0.01
9,47,6,road,400.0,10000000.0,48.79,0.04
10,6,7,road,400.0,10000000.0,13.132,0.01
11,7,8,road,400.0,10000000.0,14.462,0.01
12,8,58,road,400.0,10000000.0,8.329,0.01
13,6,51,road,400.0,10000000.0,55.069,0.05
14,48,51,road,400.0,10000000.0,54.847,0.05
15,49,4,road,400.0,10000000.0,30.171,0.03
16,49,11,road,400.0,10000000.0,42.577,0.04
17,49,50,road,400.0,10000000.0,36.208,0.03
18,4,39,road,400.0,10000000.0,71.328,0.06
19,39,5,road,400.0,10000000.0,21.968,0.02
20,39,53,road,400.0,10000000.0,28.191,0.02
21,39,11,road,400.0,10000000.0,63.467,0.05
22,11,10,road,400.0,10000000.0,15.396,0.01
23,58,50,road,400.0,10000000.0,33.732,0.03
24,58,61,road,400.0,10000000.0,42.336,0.04
25,50,9,road,400.0,10000000.0,15.24,0.01
26,59,9,road,400.0,10000000.0,58.242,0.05
27,51,9,road,400.0,10000000.0,9.721,0.01
28,59,60,road,400.0,10000000.0,5.649,0.0
29,59,36,road,400.0,10000000.0,50.415,0.04
30,62,17,road,400.0,10000000.0,28.104,0.02
31,60,62,road,400.0,10000000.0,15.588,0.01
32,62,73,road,400.0,10000000.0,12.392,0.01
33,36,17,road,400.0,10000000.0,30.35,0.03
34,60,52,road,400.0,10000000.0,57.931,0.05
35,51,52,road,400.0,10000000.0,11.041,0.01
36,10,51,road,400.0,10000000.0,21.634,0.02
37,51,13,road,400.0,10000000.0,53.662,0.04
38,11,13,road,400.0,10000000.0,28.967,0.02
39,13,38,road,400.0,10000000.0,38.515,0.03
40,38,53,road,400.0,10000000.0,20.42,0.02
41,53,43,road,400.0,10000000.0,28.861,0.02
42,53,44,road,400.0,10000000.0,10.616,0.01
43,44,19,road,400.0,10000000.0,14.263,0.01
44,19,20,road,400.0,10000000.0,44.43,0.04
45,44,69,road,400.0,10000000.0,62.309,0.05
46,69,54,road,400.0,10000000.0,2.451,0.0
47,69,13,road,400.0,10000000.0,10.757,0.01
48,54,13,road,400.0,10000000.0,11.334,0.01
49,13,14,road,400.0,10000000.0,33.682,0.03
50,14,15,road,400.0,10000000.0,15.475,0.01
51,13,37,road,400.0,10000000.0,52.186,0.04
52,37,52,road,400.0,10000000.0,25.407,0.02
53,37,15,road,400.0,10000000.0,8.288,0.01
54,37,55,road,400.0,10000000.0,9.945,0.01
55,52,55,road,400.0,10000000.0,33.511,0.03
56,55,56,road,400.0,10000000.0,5.705,0.0
57,15,55,road,400.0,10000000.0,5.717,0.0
58,37,61,road,400.0,10000000.0,53.742,0.04
59,55,16,road,400.0,10000000.0,39.913,0.03
60,16,73,road,400.0,10000000.0,11.378,0.01
61,18,67,road,400.0,10000000.0,65.386,0.05
62,18,63,road,400.0,10000000.0,29.548,0.02
63,63,16,road,400.0,10000000.0,18.287,0.02
64,56,63,road,400.0,10000000.0,41.372,0.03
65,54,56,road,400.0,10000000.0,55.702,0.05
66,56,57,road,400.0,10000000.0,16.411,0.01
67,57,63,road,400.0,10000000.0,28.919,0.02
68,56,27,road,400.0,10000000.0,39.855,0.03
69,27,70,road,400.0,10000000.0,26.395,0.02
70,64,63,road,400.0,10000000.0,34.335,0.03
71,64,67,road,400.0,10000000.0,18.507,0.02
72,20,21,road,400.0,10000000.0,26.785,0.02
73,21,40,road,400.0,10000000.0,23.698,0.02
74,40,23,road,400.0,10000000.0,37.007,0.03
75,23,24,road,400.0,10000000.0,12.81,0.01
76,24,25,road,400.0,10000000.0,32.438,0.03
